F_h,h
0.261222,-27210
0.261615,-27191
0.26201,-27172
0.262404,-27153
0.262799,-27133.9
0.263193,-27114.9
0.263587,-27095.9
0.263983,-27076.9
0.264378,-27057.9
0.264773,-27038.9
0.265168,-27019.8
0.265563,-27000.8
0.265958,-26981.8
0.266354,-26962.8
0.266749,-26943.8
0.267145,-26924.8
0.26754,-26905.8
0.267936,-26886.7
0.268332,-26867.7
0.268728,-26848.7
0.269124,-26829.7
0.26952,-26810.7
0.269916,-26791.7
0.270312,-26772.6
0.270709,-26753.6
0.271105,-26734.6
0.271502,-26715.6
0.271899,-26696.6
0.272295,-26677.6
0.272692,-26658.5
0.273089,-26639.5
0.273486,-26620.5
0.273884,-26601.5
0.274281,-26582.5
0.274678,-26563.5
0.275075,-26544.5
0.275473,-26525.4
0.27587,-26506.4
0.276268,-26487.4
0.276666,-26468.4
0.277063,-26449.4
0.277461,-26430.4
0.277859,-26411.3
0.278257,-26392.3
0.278655,-26373.3
0.279053,-26354.3
0.279452,-26335.3
0.27985,-26316.3
0.280249,-26297.2
0.280647,-26278.2
0.281045,-26259.2
0.281444,-26240.2
0.281844,-26221.2
0.282241,-26202.2
0.282641,-26183.2
0.28304,-26164.1
0.283438,-26145.1
0.283838,-26126.1
0.284237,-26107.1
0.284636,-26088.1
0.285037,-26069.1
0.285436,-26050
0.285835,-26031
0.286234,-26012
0.286634,-25993
0.287034,-25974
0.287435,-25955
0.287835,-25936
0.288234,-25916.9
0.288634,-25897.9
0.289034,-25878.9
0.289434,-25859.9
0.289835,-25840.9
0.290236,-25821.9
0.290636,-25802.8
0.291036,-25783.8
0.291436,-25764.8
0.291837,-25745.8
0.292239,-25726.8
0.292639,-25707.8
0.29304,-25688.8
0.293441,-25669.7
0.293842,-25650.7
0.294243,-25631.7
0.294644,-25612.7
0.295045,-25593.7
0.295447,-25574.7
0.295849,-25555.6
0.29625,-25536.6
0.296651,-25517.6
0.297053,-25498.6
0.297454,-25479.6
0.297856,-25460.6
0.298258,-25441.5
0.29866,-25422.5
0.299062,-25403.5
0.299464,-25384.5
0.299865,-25365.5
0.300267,-25346.5
0.30067,-25327.5
0.301072,-25308.4
0.301474,-25289.4
0.301876,-25270.4
0.302279,-25251.4
0.302681,-25232.4
0.303084,-25213.4
0.303487,-25194.3
0.303889,-25175.3
0.304292,-25156.3
0.304695,-25137.3
0.305097,-25118.3
0.305501,-25099.3
0.305904,-25080.2
0.306307,-25061.2
0.30671,-25042.2
0.307113,-25023.2
0.307516,-25004.2
0.30792,-24985.2
0.308322,-24966.2
0.308725,-24947.1
0.309129,-24928.1
0.309532,-24909.1
0.309935,-24890.1
0.31034,-24871.1
0.310743,-24852.1
0.311147,-24833
0.31155,-24814
0.311955,-24795
0.312358,-24776
0.312762,-24757
0.313166,-24738
0.31357,-24719
0.313974,-24699.9
0.314378,-24680.9
0.314782,-24661.9
0.315186,-24642.9
0.315591,-24623.9
0.315995,-24604.9
0.316399,-24585.8
0.316804,-24566.8
0.317208,-24547.8
0.317613,-24528.8
0.318017,-24509.8
0.318422,-24490.8
0.318828,-24471.8
0.319231,-24452.7
0.319637,-24433.7
0.320041,-24414.7
0.320445,-24395.7
0.320851,-24376.7
0.321256,-24357.7
0.32166,-24338.6
0.322066,-24319.6
0.32247,-24300.6
0.322875,-24281.6
0.323281,-24262.6
0.323686,-24243.6
0.324092,-24224.5
0.324496,-24205.5
0.324901,-24186.5
0.325307,-24167.5
0.325713,-24148.5
0.326119,-24129.5
0.326524,-24110.5
0.326929,-24091.4
0.327335,-24072.4
0.32774,-24053.4
0.328146,-24034.4
0.328552,-24015.4
0.328958,-23996.4
0.329363,-23977.3
0.329769,-23958.3
0.330175,-23939.3
0.330581,-23920.3
0.330987,-23901.3
0.331393,-23882.3
0.331799,-23863.2
0.332204,-23844.2
0.33261,-23825.2
0.333017,-23806.2
0.333423,-23787.2
0.333829,-23768.2
0.334235,-23749.2
0.334642,-23730.1
0.335048,-23711.1
0.335454,-23692.1
0.335861,-23673.1
0.336267,-23654.1
0.336673,-23635.1
0.33708,-23616
0.337487,-23597
0.337893,-23578
0.338299,-23559
0.338706,-23540
0.339112,-23521
0.339519,-23502
0.339926,-23482.9
0.340332,-23463.9
0.340739,-23444.9
0.341145,-23425.9
0.341553,-23406.9
0.341959,-23387.9
0.342366,-23368.8
0.342773,-23349.8
0.34318,-23330.8
0.343587,-23311.8
0.343994,-23292.8
0.3444,-23273.8
0.344808,-23254.8
0.345215,-23235.7
0.345622,-23216.7
0.346029,-23197.7
0.346436,-23178.7
0.346843,-23159.7
0.34725,-23140.7
0.347658,-23121.6
0.348065,-23102.6
0.348472,-23083.6
0.348879,-23064.6
0.349286,-23045.6
0.349694,-23026.6
0.350101,-23007.5
0.350508,-22988.5
0.350915,-22969.5
0.351323,-22950.5
0.351731,-22931.5
