loss,count
-4018.2,509
-4017.5,1492
-4015.3,709
-4006.6,595
-3996.9,124
-3992.7,1046
-3986.2,1140
-3985.7,80
-3983.5,100
-3982.6,6263
-3973.8,1459
-3973.4,117
-3970.9,3432
-3967.3,1563
-3966.9,161
-3955,4184
-3945,445
-3941.4,322
-3939,263
-3926.2,933
-3918.2,111
-3915.9,623
-3905.8,2888
-3897.1,1642
-3896.6,91
-3884.6,694
-3878.2,2191
-3858.7,373
-3847.9,60
-3840.3,5911
-3837.8,211
-3829.1,124
-3808.5,164
-3807.3,622
-3795.5,955
-3790.6,782
-3785,171
-3780.5,3843
-3779.4,845
-3778.5,204
-3768.7,226
-3766.6,8401
-3763.7,51
-3751.4,8028
-3750.6,323
-3745.2,244
-3738.7,318
-3737,329
-3723.9,95
-3719.4,217
-3718.2,907
-3708.2,112
-3690.3,1138
-3689.8,3850
-3689.4,270
-3679.6,303
-3668.4,165
-3661.5,378
-3654.1,303
-3649.8,3706
-3649.6,388
-3640.7,177
-3621.8,300
-3618,121
-3609.3,88
-3599.2,249
-3596.2,498
-3583.8,189
-3573.7,716
-3565,432
-3553.8,200
-3543.7,859
-3535.5,102
-3535.4,10671
-3529.8,1598
-3528.9,169
-3525.9,337
-3516.7,205
-3515.8,1064
-3507.1,741
-3501.9,1885
-3491.2,410
-3490,1836
-3481.1,742
-3475.3,52
-3474.6,751
-3461.2,471
-3459.8,204
-3446.4,128
-3433.8,4837
-3429.8,246
-3420.9,128
-3410.8,388
-3404.3,445
-3402,193
-3385.5,1105
-3383.2,361
-3381.1,169
-3376.6,773
-3371,534
-3357.7,1010
-3347.5,4523
-3340.5,207
-3336.8,809
-3331.8,148
-3327.7,1139
-3321.7,492
-3318.7,1035
-3315.7,145
-3312.9,212
-3300.7,309
-3299.8,1427
-3292,213
-3286.9,50
-3281.9,678
-3271.4,234
-3270.7,2466
-3270.2,941
-3252.6,536
-3247.1,92
-3241.4,276
-3226.6,174
-3225.9,11755
-3197.8,63
-3197.1,1900
-3197,1097
-3194.8,532
-3186.1,475
-3182.3,283
-3181.1,1305
-3173.4,35
-3158,92
-3155,678
-3152.3,362
-3139.8,580
-3136.2,373
-3129.1,137
-3124.5,306
-3118.5,154
-3117,453
-3106.9,1731
-3105.7,749
-3103.6,270
-3093.5,1033
-3084.7,379
-3084.3,37
-3065.9,914
-3063,362
-3062.1,371
-3052.1,175
-3047.1,488
-3038.2,266
-3036.6,1018
-3027.9,624
-3017.8,2867
-3006.6,1244
-2998.4,338
-2992.7,2369
-2983,192
-2970.1,683
-2969.6,113
-2960,3303
-2938.2,86
-2930.1,192
-2928.1,208
-2924.7,171
-2918.2,186
-2914.2,262
-2909.3,94
-2895.9,35
-2893.9,286
-2890.9,2226
-2890.3,331
-2877.5,1402
-2873.7,619
-2858.7,749
-2847.9,116
-2846.1,557
-2841,283
-2839.5,1048
-2836.1,234
-2829.4,5845
-2829.1,259
-2820.6,1332
-2820.2,113
-2801.8,3737
-2801.2,349
-2790.7,64
-2790.6,1682
-2784.6,790
-2778.6,223
-2775.7,366
-2768.5,720
-2759.8,429
-2749.8,85
-2739.7,223
-2734.3,1196
-2731,176
-2712.1,264
-2705.5,339
-2705.4,217
-2704.3,1488
-2695.3,834
-2689.5,310
-2686.6,504
-2683,351
-2679.4,969
-2660.7,106
-2660.6,606
-2657.7,683
-2654.1,542
-2650.6,297
-2640.7,360
-2631.8,141
-2626.2,801
-2613.4,7921
-2612.8,516
-2609.3,163
-2602.7,808
-2596.2,957
-2592,227
-2585.3,420
-2583.8,343
-2581.4,234
-2571.4,647
-2570.9,47
-2568.6,1084
-2565,854
-2552.5,906
-2552.1,104
-2537.1,1122
-2526.6,188
-2525.9,563
-2523.7,346
-2515,234
-2507.1,1356
-2501.1,395
-2498.2,821
-2496.2,566
-2494.6,457
-2491,1627
-2482.3,928
-2481.8,50
-2479.3,1051
-2475.3,82
-2463.4,1287
-2458.4,945
-2434.6,378
-2426.6,52
-2422.9,4628
-2420.9,206
-2405.5,638
-2393,319
-2381.1,297
-2376.6,1568
-2374.2,618
-2369.3,554
-2363.7,129
-2348.7,1725
-2347.5,10661
-2337.5,76
-2336.8,1663
-2336.6,4313
-2331.8,248
-2323.9,185
-2318.7,1958
-2315.7,251
-2307.8,889
-2303.9,381
-2299,346
-2293.4,82
-2292,376
-2288.9,1238
-2286.9,104
-2280.2,798
-2275,2193
-2274.6,154
-2259.8,2199
-2253.6,109
-2250.7,151
-2247.1,148
-2238.6,547
-2234.8,219
-2228.5,1905
-2226.6,359
-2197.8,118
-2194.3,4217
-2186.1,971
-2162.5,148
-2158.2,1185
-2158,170
-2149.5,723
-2149.1,82
-2139.4,2983
-2139,136
-2132.5,164
-2128.9,508
-2120.6,5786
-2117.7,41
-2117,853
-2107.6,130
-2104.6,254
-2103.6,557
-2091.8,1187
-2073.4,169
-2062.2,105
-2059.8,484
-2052.1,328
-2046.4,275
-2043.8,2907
-2043.4,233
-2038.2,450
-2030.9,116
-2027.9,1284
-2025.1,105
-2015.5,303
-2015,150
-2012.5,2598
-1998.4,679
-1989.5,234
-1986.6,517
-1983,347
-1970.7,668
-1970.1,1235
-1969.6,214
-1961.1,1154
-1951,5575
-1942.2,1539
-1941.8,123
-1938.2,123
-1929.3,63
-1923.4,4002
-1919.2,164
-1912.9,702
-1910.5,112
-1893.9,409
-1891.6,210
-1889.5,97
-1885,257
-1883.8,1212
-1879.4,247
-1870.7,193
-1855.9,1437
-1855,266
-1845.2,296
-1840.2,60
-1839.5,2201
-1836.1,419
-1830.1,197
-1827.1,400
-1826.6,162
-1815.2,427
-1800.4,108
-1790.3,324
-1782.3,1073
-1782.2,618
-1778.6,351
-1775.7,671
-1771.5,131
-1764.8,326
-1761,259
-1759.8,800
-1753.4,200
-1749.8,145
-1737.5,212
-1735,7525
-1734.3,2821
-1731,322
-1713.6,259
-1705.5,628
-1705.4,397
-1703.2,230
-1694.5,168
-1689.5,493
-1686.6,1048
-1682.3,242
-1681.8,27
-1675.7,452
-1663.4,315
-1663,46
-1660.7,181
-1648.2,211
-1637.5,79
-1625.4,199
-1615.3,644
-1614.1,280
-1612,111
-1606.6,461
-1601.9,415
-1595.4,241
-1593.2,261
-1592.7,32
-1591.8,674
-1585.3,769
-1574.3,390
-1571.4,1253
-1570.5,172
-1551.1,1396
-1548.8,391
-1536.3,237
-1526.2,896
-1515,493
-1506.3,288
-1503.4,116
-1501.1,749
-1498.2,1644
-1496.2,1092
-1487.3,666
-1482.3,1960
-1478.5,234
-1474.6,42
-1468.4,910
-1459.7,600
-1458.4,1834
-1449.5,777
-1447.5,810
-1433.1,74
-1426.6,92
-1418.2,606
-1417.7,45
-1414.3,137
-1404.3,32
-1399.3,860
-1398.9,86
-1385.9,554
-1385.5,49
-1382.1,260
-1375.8,921
-1373.4,179
-1369.3,1037
-1363.3,532
-1354.5,256
-1347.9,388
-1346.7,1729
-1337.8,1519
-1337.5,129
-1336.6,10994
-1329.1,893
-1328.6,45
-1317.9,402
-1310.2,1197
-1307.8,1818
-1299,575
-1293,323
-1284.1,171
-1280.2,1555
-1271.3,916
-1268.2,231
-1249.9,48
-1239.8,130
-1239.4,108
-1239.3,330
-1238.6,973
-1231.5,1072
-1227.7,414
-1225.9,197
-1212.7,515
-1210.5,118
-1195,212
-1194.5,96
-1194.3,9793
-1183.4,4023
-1181.4,604
-1170.7,165
-1169,218
-1166.1,314
-1165.7,42
-1162.5,239
-1150.2,516
-1149.5,1440
-1149.1,158
-1147.3,711
-1140.2,62
-1139,245
-1138.6,621
-1125.9,62
-1121.8,2025
-1121.4,134
-1120.6,14362
-1117.7,82
-1111.1,319
-1104.6,453
-1100.4,90
-1093.7,193
-1092.3,756
-1091.8,2348
-1081.6,214
-1079.8,249
-1077,412
-1073.4,295
-1060.5,61
-1023.8,203
-1020,94
